"code","inclusion_notes","exclusion_notes"
"K631","","avec diverticulose de l'intestin [K57.-]
perforation (non traumatique) de :
 - appendice [K35.2]  [K35.3] 
 - duodénum [K26.-]"
"K632","","fistule (de) (des) :
 - appendice [K38.3] 
 - duodénum [K31.6] 
 - entérogénitale chez la femme [N82.2-N82.4] 
 - entérovésicale [N32.1] 
 - régions anale et rectale [K60.-]"
"K633","Ulcère primaire de l'intestin grêle","rectocolite hémorragique [K51.-]
ulcère (de) :
 - anus et rectum [K62.6] 
 - digestif, de siège non précisé [K27.-] 
 - duodénum [K26.-] 
 - gastro-intestinal [K28.-] 
 - gastrojéjunal [K28.-] 
 - jéjunal [K28.-]"
"K635","","polype adénomateux du côlon [D12.6]
polypose du côlon [D12.6]"
"K64","varices de l'anus et du rectum","compliquant :
 - l’accouchement et la puerpéralité [O87.2] 
 - la grossesse [O22.4]"
"K640","Hémorroïdes (avec saignements) sans procidence à l’extérieur du canal anal
Hémorroïdes de grade/stade I",""
"K641","Hémorroïdes (avec saignements) avec procidence à l’effort, mais  spontanément réductible
Hémorroïdes de grade/stade II",""
"K642","Hémorroïdes (avec saignements) avec procidence à l’effort, mais  nécessitant une réintroduction manuelle
Hémorroïdes de grade/stade III",""
"K643","Hémorroïdes (avec saignements) avec procidence non réductible [prolapsus hémorroïdaire]
Hémorroïdes de grade/stade IV",""
"K644","Acrochordon de l'anus
Hémorroïdes de Brodie",""
"K645","Hématome périanal",""
"K649","Hémorroïdes (avec saignement) :
 - SAI
 - sans mention du degré","compliquant :
 - l’accouchement et la puerpéralité [O87.2] 
 - la grossesse [O22.4]"
"K65","","péritonite :
 - aseptique [T81.6] 
 - avec ou consécutive à :
  - appendicite [K35.-] 
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.0] 
  - diverticulose de l'intestin [K57.-] 
 - bénigne paroxystique [E85.0] 
 - chimique [T81.6] 
 - due au talc ou à d'autres substances étrangères [T81.6] 
 - du nouveau-né [P78.0-P78.1] 
 - pelvienne, chez la femme [N73.3-N73.5] 
 - périodique familiale [E85.0] 
 - puerpérale [O85]"
"K650","Abcès :
 - abdominopelvien
 - épiploïque
 - mésentérique
 - péritonéal
 - rétrocæcal
 - rétropéritonéal
 - sousdiaphragmatique
 - soushépatique
 - sousphrénique
- Péritonite (aigüe) :
 - généralisée
 - pelvienne, chez l'homme
 - septique",""
"K658","Nécrose graisseuse [stéatonécrose]  mésentérique
Saponification  mésentérique
Péritonite (due à) :
 - bile
 - proliférative chronique
 - urine",""
"K659","","péritonite :
 - aseptique [T81.6] 
 - avec ou consécutive à :
  - appendicite [K35.-] 
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.0] 
  - diverticulose de l'intestin [K57.-] 
 - bénigne paroxystique [E85.0] 
 - chimique [T81.6] 
 - due au talc ou à d'autres substances étrangères [T81.6] 
 - du nouveau-né [P78.0-P78.1] 
 - pelvienne, chez la femme [N73.3-N73.5] 
 - périodique familiale [E85.0] 
 - puerpérale [O85]"
"K66","","ascite [R18]"
"K660","Adhérences (de) :
 - diaphragmatiques
 - épiploïques
 - gastriques
 - intestinales
 - mésentériques
 - paroi abdominale
 - pelviennes, chez l'homme
Brides d'adhérence","adhérences [brides] :
 - avec occlusion intestinale [K56.5] 
 - pelviennes, chez la femme [N73.6]"
"K661","","hémopéritoine traumatique [S36.8]"
"K662","Maladie d'Ormond",""
"K669","","ascite [R18]"
"K70-K77","","hémochromatose [E83.1]
hépatite virale [B15-B19]
ictère SAI [R17.0]
maladie de Wilson [E83.0]
syndrome de Reye [G93.7]"
"K703","Cirrhose alcoolique SAI",""
"K704","Insuffisance hépatique alcoolique :
 - SAI
 - aigüe
 - avec ou sans coma hépatique
 - chronique
 - subaigüe",""
"K71","lésion hépatique :
 - idiosyncrasique (imprévisible) médicamenteuse 
 - toxique (prévisible) médicamenteuse","maladie alcoolique du foie [K70.-]
syndrome de Budd–Chiari [I82.0]"
"K710","Cholestase :
 - avec lésion des hépatocytes
 - « pure »",""
"K711","Insuffisance hépatique (aigüe) (chronique) médicamenteuse",""
"K715","Maladie toxique du foie avec hépatite lupoïde",""
"K718","Maladie toxique du foie avec :
 - granulomes hépatiques
 - hyperplasie nodulaire en foyer
 - maladie veinoocclusive du foie
 - péliose hépatique",""
"K719","","maladie alcoolique du foie [K70.-]
syndrome de Budd–Chiari [I82.0]"
"K72","atrophie ou dystrophie jaune du foie
coma hépatique SAI
encéphalopathie hépatique SAI [G94.3]
hépatite :
 - fulminante NCA, avec insuffisance hépatique 
 - maligne NCA, avec insuffisance hépatique 
nécrose des hépatocytes avec insuffisance hépatique","hépatite virale [B15-B19]
ictère du fœtus et du nouveau-né [P55-P59]
insuffisance hépatique :
 - alcoolique [K70.4] 
 - avec maladie toxique du foie [K71.1] 
 - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.8] 
 - grossesse, accouchement et puerpéralité [O26.6]"
"K720","Hépatite aigüe non virale SAI
Insuffisance hépatique d'apparition tardive",""
"K729","","hépatite virale [B15-B19]
ictère du fœtus et du nouveau-né [P55-P59]
insuffisance hépatique :
 - alcoolique [K70.4] 
 - avec maladie toxique du foie [K71.1] 
 - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.8] 
 - grossesse, accouchement et puerpéralité [O26.6]"
"K73","","hépatite (chronique) :
 - alcoolique [K70.1] 
 - granulomateuse NCA [K75.3] 
 - médicamenteuse [K71.-] 
 - réactive non spécifique [K75.2] 
 - virale [B15-B19]"
"K739","","hépatite (chronique) :
 - alcoolique [K70.1] 
 - granulomateuse NCA [K75.3] 
 - médicamenteuse [K71.-] 
 - réactive non spécifique [K75.2] 
 - virale [B15-B19]"
"K74","","avec maladie toxique du foie [K71.7]
cirrhose (du foie) :
 - alcoolique [K70.3] 
 - congénitale [P78.8] 
fibrose alcoolique du foie [K70.2] 
sclérose du foie d'origine cardiaque [K76.1]"
"K743","Angiocholite destructive chronique, non suppurée",""
"K746","Cirrhose (du foie) :
 - SAI
 - cryptogénique
 - de type mixte
 - macronodulaire
 - micronodulaire
 - portale
 - postnécrotique",""
"K75","","hépatite :
 - aigüe ou subaigüe :
  - non virale [K72.0] 
  - SAI [B17.9] 
 - chronique NCA [K73.-] 
 - virale [B15-B19] 
maladie toxique du foie [K71.-]"
"K750","Abcès hépatique :
 - SAI
 - angiocholique
 - hématogène
 - lymphogène
 - pyléphlébitique","abcès amibien du foie [A06.4]  [K77.0]
angiocholite sans abcès du foie [K83.0]
pyléphlébite sans abcès du foie [K75.1]"
"K751","Pyléphlébite","abcès pyléphlébitique du foie [K75.0]"
"K754","Hépatite lupoïde NCA",""
"K758","Stéatohépatite non alcoolique [NASH]",""
"K759","Hépatite SAI","hépatite :
 - aigüe ou subaigüe :
  - non virale [K72.0] 
  - SAI [B17.9] 
 - chronique NCA [K73.-] 
 - virale [B15-B19] 
maladie toxique du foie [K71.-]"
"K76","","dégénérescence amyloïde du foie [E85.-]
hépatomégalie SAI [R16.0]
maladie :
 - alcoolique du foie [K70.-] 
 - kystique du foie (congénitale) [Q44.6] 
 - toxique du foie [K71.-] 
- thrombose de la veine :
 - hépatique [I82.0] 
 - porte [I81]"
"K760","Stéatose hépatique non alcoolique [NAFLD]","stéatohépatite non alcoolique [K75.8]"
"K761","Cirrhose du foie (dite) cardiaque
Sclérose du foie d'origine cardiaque",""
"K762","","nécrose du foie (avec insuffisance hépatique) [K72.-]"
"K764","Angiomatose hépatique",""
"K765","","syndrome de Budd–Chiari [I82.0]"
"K767","","consécutif au travail et à l'accouchement [O90.4]"
"K768","Hépatoptose
Hyperplasie hépatique nodulaire focale
Kyste simple du foie
Shunt vasculaire intrahépatique acquis",""
"K769","","dégénérescence amyloïde du foie [E85.-]
hépatomégalie SAI [R16.0]
maladie :
 - alcoolique du foie [K70.-] 
 - kystique du foie (congénitale) [Q44.6] 
 - toxique du foie [K71.-] 
- thrombose de la veine :
 - hépatique [I82.0] 
 - porte [I81]"
"K770","Abcès amibien du foie [A06.4]
Hépatite (à) :
 - cytomégalovirus [B25.1] 
 - herpétique [à virus Herpes simplex] [B00.8] 
 - toxoplasme [B58.1] 
Hypertension portale au cours de schistosomiase [B65.-] 
Schistosomiase hépatosplénique [B65.-] 
Syphilis hépatique [A52.7]",""
"K778","Granulomes hépatiques au cours de :
 - bérylliose [J63.2] 
 - sarcoïdose [D86.8]",""
"K800","Tout état mentionné en K80.2 avec cholécystite aigüe",""
"K801","Cholécystite avec cholélithiase SAI
Tout état mentionné en K80.2 avec cholécystite (chronique)",""
"K802","Calcul (bloqué) de :
 - canal cystique sans précision ou sans cholécystite 
 - vésicule biliaire sans précision ou sans cholécystite 
 Cholécystolithiase  sans précision ou sans cholécystite 
 Cholélithiase  sans précision ou sans cholécystite 
 Colique biliaire (récidivante)  sans précision ou sans cholécystite",""
"K803","Tout état mentionné en K80.5 avec angiocholite",""
"K804","Tout état mentionné en K80.5 avec cholécystite (avec angiocholite)",""
"K805","Calcul (bloqué) d'un canal biliaire SAI  sans précision ou sans angiocholite ni cholécystite
Cholélithiase hépatique  sans précision ou sans angiocholite ni cholécystite
Colique hépatique (récidivante)  sans précision ou sans angiocholite ni cholécystite
Lithiase du canal cholédoque  sans précision ou sans angiocholite ni cholécystite",""
"K81","","avec cholélithiase [K80.-]"
"K810","Abcès de la vésicule biliaire  sans calcul
Angiocholécystite  sans calcul
Cholécystite :
 - emphysémateuse (aigüe) sans calcul 
 - gangréneuse sans calcul 
 - suppurée sans calcul 
 Empyème de la vésicule biliaire  sans calcul 
 Gangrène de la vésicule biliaire  sans calcul",""
"K819","","avec cholélithiase [K80.-]"
"K82","","syndrome postcholécystectomie [K91.5]
vésicule biliaire exclue [R93.2]"
"K820","Occlusion  du canal cystique ou de la vésicule biliaire, sans calcul
Rétrécissement  du canal cystique ou de la vésicule biliaire, sans calcul
Sténose  du canal cystique ou de la vésicule biliaire, sans calcul","avec cholélithiase [K80.-]"
"K821","Mucocèle de la vésicule biliaire",""
"K822","Rupture du canal cystique ou de la vésicule biliaire",""
"K823","Fistule  cholécystocolique
Fistule  cholécystoduodénale",""
"K824","Vésicule fraise",""
"K828","Adhérences  du canal cystique ou de la vésicule biliaire
Atrophie  du canal cystique ou de la vésicule biliaire
Dyskinésie  du canal cystique ou de la vésicule biliaire
Exclusion  du canal cystique ou de la vésicule biliaire
Hypertrophie  du canal cystique ou de la vésicule biliaire
Kyste  du canal cystique ou de la vésicule biliaire
Ulcère  du canal cystique ou de la vésicule biliaire",""
"K829","","syndrome postcholécystectomie [K91.5]
vésicule biliaire exclue [R93.2]"
"K83","","états mentionnés concernant le canal cystique et la vésicule biliaire [K81-K82]
syndrome postcholécystectomie [K91.5]"
"K830","Angiocholite :
 - SAI
 - ascendante
 - primaire
 - récidivante
 - sclérosante
 - secondaire
 - sténosante
 - suppurée","abcès angiocholique du foie [K75.0]
angiocholite :
 - avec lithiase du canal cholédoque [K80.3-K80.4] 
 - destructive chronique, non suppurée [K74.3]"
"K831","Occlusion  d'un canal biliaire, sans calcul
Rétrécissement  d'un canal biliaire, sans calcul
Sténose  d'un canal biliaire, sans calcul","avec cholélithiase [K80.-]"
"K832","Rupture d'un canal biliaire",""
"K833","Fistule cholédocoduodénale",""
"K838","Adhérences  d'un canal biliaire
Atrophie  d'un canal biliaire
Hypertrophie  d'un canal biliaire
Ulcère  d'un canal biliaire",""
"K839","","états mentionnés concernant le canal cystique et la vésicule biliaire [K81-K82]
syndrome postcholécystectomie [K91.5]"
"K85","abcès du pancréas
nécrose du pancréas :
 - aigüe
 - infectieuse
- pancréatite :
 - SAI
 - aigüe (récidivante)
 - hémorragique
 - purulente
 - subaigüe",""
"K851","Pancréatite aigüe secondaire à des calculs biliaires",""
"K86","","maladie fibrokystique du pancréas [E84.-]
stéatorrhée pancréatique [K90.3]
tumeur à cellules insulaires (du pancréas) [D13.7]"
"K861","Pancréatite chronique :
 - SAI
 - à rechutes
 - infectieuse
 - récidivante",""
"K868","Atrophie  du pancréas
Calcul  du pancréas
Cirrhose  du pancréas
Fibrose  du pancréas
Nécrose :
 - SAI du pancréas 
 - aseptique du pancréas 
 - graisseuse du pancréas 
Infantilisme pancréatique",""
"K869","","maladie fibrokystique du pancréas [E84.-]
stéatorrhée pancréatique [K90.3]
tumeur à cellules insulaires (du pancréas) [D13.7]"
"K871","Pancréatite (à) :
 - cytomégalovirus [B25.2] 
 - ourlienne [B26.3]",""
"K90","","après chirurgie gastro-intestinale [K91.2]"
"K900","Intolérance au gluten
Sprue non tropicale
Stéatorrhée idiopathique",""
"K901","Sprue SAI
Stéatorrhée tropicale",""
"K902","Syndrome de l'anse borgne SAI","syndrome de l'anse borgne :
 - congénital [Q43.8] 
 - postchirurgical [K91.2]"
"K904","Malabsorption due à une intolérance (à) :
 - amidon
 - glucides
 - lipides
 - protides","intolérance au :
 - gluten [K90.0] 
 - lactose [E73.-]"
"K908","Maladie de Whipple [M14.8]",""
"K909","","après chirurgie gastro-intestinale [K91.2]"
"K91","","colite [K52.0]  due à une irradiation
gastroentérite [K52.0]  due à une irradiation
rectite [K62.7]  due à une irradiation
ulcère gastrojéjunal [K28.-]"
"K911","Syndrome (de) :
 - chasse
 - postgastrectomique
 - postvagotomie",""
"K912","Syndrome postchirurgical de l'anse borgne","ostéomalacie de l'adulte due à une malabsorption [M83.2]
ostéoporose consécutive à une malabsorption postchirurgicale [M81.3]"
"K919","","colite [K52.0]  due à une irradiation
gastroentérite [K52.0]  due à une irradiation
rectite [K62.7]  due à une irradiation
ulcère gastrojéjunal [K28.-]"
"K92","","hémorragies gastro-intestinales du nouveau-né [P54.0-P54.3]"
"K921","","sang occulte dans les selles [R19.5]"
"K922","Hémorragie :
 - gastrique SAI
 - intestinale SAI","avec ulcère digestif [K25-K28]
gastrite hémorragique aigüe [K29.0]
hémorragie de l'anus et du rectum [K62.5]"
"K929","","hémorragies gastro-intestinales du nouveau-né [P54.0-P54.3]"
"K930","","péritonite tuberculeuse [K67.3]"
"L00","Dermatite exfoliatrice staphylococcique du nourrisson
Maladie de Ritter von Rittershain
Pemphigus épidémique du nouveau-né","épidermolyse nécrosante suraigüe [Lyell] [L51.2]"
"L00-L08","","dermite infectée [L30.3]
granulome pyogène [L98.0]
infections localisées de la peau classées dans le chapitre I, telles que :
 - érysipèle [A46] 
 - érysipéloïde [A26.-] 
 - infection par le virus de l'herpès [Herpes simplex] [B00.-]  :
  - anogénital (A60.-)
 - molluscum contagiosum [B08.1] 
 - mycoses [B35-B49] 
 - pédiculose, acariase et autres infestations [B85-B89] 
 - verrues virales [B07] 
 - zona [B02.-] 
orgelet [H00.0] 
- panniculite :
 - SAI [M79.3] 
 - affectant le cou et le dos [M54.0] 
 - lupique [L93.2] 
 - récidivante [Weber–Christian] [M35.6] 
- perlèche (due à) :
 - SAI [K13.0] 
 - candidose [B37.-] 
 - carence en riboflavine [E53.0]"
"L01","","impétigo herpétiforme [L40.1]
pemphigus épidémique du nouveau-né [L00]"
"L010","Impétigo de Bockhart",""
"L02","clou
furonculose","organes génitaux (externes) de :
 - femme [N76.4] 
 - homme [N48.2]  [N49.-] 
régions anale et rectale [K61.-]"
"L020","","bouche [K12.2]
glande lacrymale [H04.0]
nez [J34.0]
orbite [H05.0]
oreille externe [H60.0]
paupière [H00.0]
sousmaxillaire [K12.2]
tête [toute partie autre que la face] [L02.8]
voies lacrymales [H04.3]"
"L022","Aine
Dos [toute partie autre que la fesse]
Ombilic
Paroi :
 - abdominale
 - thoracique
Périnée","hanche [L02.4]
omphalite du nouveau-né [P38]
sein [N61]"
"L023","Région fessière","sinus pilonidal avec abcès [L05.0]"
"L024","Aisselle
Épaule
Hanche",""
"L028","Cuir chevelu
Tête [toute partie autre que la face]",""
"L029","Furonculose SAI","organes génitaux (externes) de :
 - femme [N76.4] 
 - homme [N48.2]  [N49.-] 
régions anale et rectale [K61.-]"
"L03","lymphangite aigüe","dermatose neutrophile fébrile [Sweet] [L98.2]
lymphangite (chronique) (subaigüe) [I89.1]
phlegmon (à) (de) :
 - appareil lacrymal [H04.3] 
 - bouche [K12.2] 
 - conduit auditif externe [H60.1] 
 - éosinophiles [Wells] [L98.3] 
 - nez [J34.0] 
 - organes génitaux externes de :
  - femme [N76.4] 
  - homme [N48.2]  [N49.-] 
 - paupière [H00.0] 
 - régions anale et rectale [K61.-]"
"L030","Infection de l'ongle
Onychie
Paronychie
Périonyxis",""
"L031","Aisselle
Épaule
Hanche",""
"L033","Aine
Dos [toute partie]
Ombilic
Paroi :
 - abdominale
 - thoracique
Périnée","omphalite du nouveau-né [P38]"
"L038","Cuir chevelu
Tête [toute partie autre que la face]",""
"L039","","dermatose neutrophile fébrile [Sweet] [L98.2]
lymphangite (chronique) (subaigüe) [I89.1]
phlegmon (à) (de) :
 - appareil lacrymal [H04.3] 
 - bouche [K12.2] 
 - conduit auditif externe [H60.1] 
 - éosinophiles [Wells] [L98.3] 
 - nez [J34.0] 
 - organes génitaux externes de :
  - femme [N76.4] 
  - homme [N48.2]  [N49.-] 
 - paupière [H00.0] 
 - régions anale et rectale [K61.-]"
"L04","abcès (aigu)  tout ganglion lymphatique, sauf mésentérique
lymphadénite aigüe  tout ganglion lymphatique, sauf mésentérique","adénopathies [R59.-]
lymphadénite :
 - SAI [I88.9] 
 - chronique ou subaigüe, sauf mésentérique [I88.1] 
 - mésentérique, non spécifique [I88.0] 
maladie due au virus de l'immunodéficience humaine [VIH] à l'origine d'adénopathies généralisées [B23.1]"
"L042","Aisselle
Épaule",""
"L043","Hanche",""
"L049","","adénopathies [R59.-]
lymphadénite :
 - SAI [I88.9] 
 - chronique ou subaigüe, sauf mésentérique [I88.1] 
 - mésentérique, non spécifique [I88.0] 
maladie due au virus de l'immunodéficience humaine [VIH] à l'origine d'adénopathies généralisées [B23.1]"
"L05","fistule  coccygien(ne) ou pilonidal(e)
kyste  coccygien(ne) ou pilonidal(e)",""
"L059","Kyste pilonidal SAI",""
"L080","Dermite :
 - gangréneuse
 - purulente
 - septique
 - suppurée","pyodermite gangréneuse [L88]"
"L10","","pemphigus épidémique du nouveau-né [L00]"
"L10-L14","","épidermolyse nécrosante suraigüe [Lyell] [L51.2]
pemphigus bénin familial [Hailey–Hailey] [Q82.8]
syndrome d'épidermolyse staphylococcique du nourrisson [L00]"
"L104","Syndrome de Senear–Usher",""
"L109","","pemphigus épidémique du nouveau-né [L00]"
"L110","","kératose folliculaire (congénitale)
[Darier–White] [Q82.8]"
"L12","","herpes gestationis [O26.4]
impétigo herpétiforme [L40.1]"
"L121","Pemphigoïde muqueux bénin",""
"L122","Dermatite herpétiforme juvénile",""
"L123","","épidermolyse bulleuse (congénitale) [Q81.-]"
"L129","","herpes gestationis [O26.4]
impétigo herpétiforme [L40.1]"
"L130","Maladie de Duhring–Brocq",""
"L131","Maladie de Sneddon–Wilkinson",""
"L20","","névrodermite circonscrite [L28.0]"
"L20-L30","","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
dermite (de) :
 - avec peau sèche [L85.3] 
 - factice [L98.1] 
 - gangréneuse [L08.0] 
 - herpétiforme [L13.0] 
 - périorale [L71.0] 
 - stase [I83.1-I83.2] 
maladie granulomateuse chronique (infantile) [D71]"
"L208","Exéma [Eczéma] (de) :
 - infantile (aigu) (chronique)
 - intrinsèque (allergique)
 - plis de flexion NCA
- Névrodermite :
 - atopique
 - diffuse",""
"L209","","névrodermite circonscrite [L28.0]"
"L21","","dermite infectée [L30.3]"
"L210","Croute de lait",""
"L219","","dermite infectée [L30.3]"
"L22","Érythème fessier
Rash fessier psoriasiforme
Rougeurs des fesses",""
"L23","exéma [eczéma] allergique de contact","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - contact (de) :
  - SAI [L25.9] 
  - irritante [L24.-] 
  - paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - fessière du nourrisson [L22] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L230","Chrome
Nickel",""
"L233","","dermite due à l'ingestion de médicaments [L27.0-L27.1]
réaction allergique SAI due aux médicaments [T88.7]"
"L235","Caoutchouc
Ciment
Insecticides
Plastique",""
"L236","","dermite due à l'ingestion d'aliments [L27.2]"
"L239","Exéma [Eczéma] allergique de contact SAI","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - contact (de) :
  - SAI [L25.9] 
  - irritante [L24.-] 
  - paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - fessière du nourrisson [L22] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L24","exéma [eczéma] irritant de contact","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - allergique de contact [L23.-] 
 - contact (de) :
  - SAI [L25.9] 
  - paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - fessière du nourrisson [L22] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L242","Solvants du groupe :
 - cétones
 - composés chlorés
 - cyclohexane
 - ester
 - glycol
 - hydrocarbures",""
"L244","","dermite due à l'ingestion de médicaments [L27.0-L27.1]
réaction allergique SAI due aux médicaments [T88.7]"
"L245","Ciment
Insecticides",""
"L246","","dermite due à l'ingestion d'aliments [L27.2]"
"L248","Teintures",""
"L249","Exéma [Eczéma] irritant de contact SAI","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - allergique de contact [L23.-] 
 - contact (de) :
  - SAI [L25.9] 
  - paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - fessière du nourrisson [L22] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L25","exéma [eczéma] de contact, sans précision","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - allergique de contact [L23.-] 
 - contact de la paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - irritante de contact [L24.-] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L251","","dermite due à l'ingestion de médicaments [L27.0-L27.1]
réaction allergique SAI due aux médicaments [T88.7]"
"L253","Ciment
Insecticides",""
"L254","","dermite due à l'ingestion d'aliments [L27.2]"
"L259","Dermite de contact (professionnelle) SAI
Exéma [Eczéma] de contact (professionnel) SAI","affections de la peau et du tissu cellulaire souscutané liées à une irradiation [L55-L59]
allergie SAI [T78.4]
dermite (de) :
 - SAI [L30.9] 
 - allergique de contact [L23.-] 
 - contact de la paupière [H01.1] 
 - due à des substances prises par voie interne [L27.-] 
 - irritante de contact [L24.-] 
 - périorale [L71.0] 
exéma [eczéma] de l'oreille externe [H60.5]"
"L26","Pityriasis rubra (Hebra)","maladie de Ritter von Rittershain [L00]"
"L27","","allergie SAI [T78.4]
dermite de contact [L23-L25]
effets secondaires (de) :
 - SAI de médicaments [T88.7] 
 - denrées alimentaires, sauf dermite [T78.0-T78.1] 
- réaction :
 - photoallergique à un médicament [L56.1] 
 - phototoxique à un médicament [L56.0] 
urticaire [L50.-]"
"L272","","dermite due à des aliments en contact avec la peau [L23.6]  [L24.6]  [L25.4]"
"L279","","allergie SAI [T78.4]
dermite de contact [L23-L25]
effets secondaires (de) :
 - SAI de médicaments [T88.7] 
 - denrées alimentaires, sauf dermite [T78.0-T78.1] 
- réaction :
 - photoallergique à un médicament [L56.1] 
 - phototoxique à un médicament [L56.0] 
urticaire [L50.-]"
"L280","Lichen SAI
Névrodermite circonscrite",""
"L282","Prurigo (de) :
 - SAI
 - Hebra
 - mitis
Urticaire papuleuse",""
"L29","","excoriation névrotique [L98.1]
prurit psychogène [F45.8]"
"L299","Démangeaison SAI","excoriation névrotique [L98.1]
prurit psychogène [F45.8]"
"L30","","dermite (de) :
 - avec peau sèche [L85.3] 
 - contact [L23-L25] 
 - stase [I83.1-I83.2] 
parapsoriasis à petites plaques [L41.3]"
"L302","Candidide [lévuride]
Dermatophytide
Exématide [Eczématide]",""
"L303","Dermite exématoïde [eczématoïde] infectieuse",""
"L309","Exéma [Eczéma] SAI","dermite (de) :
 - avec peau sèche [L85.3] 
 - contact [L23-L25] 
 - stase [I83.1-I83.2] 
parapsoriasis à petites plaques [L41.3]"
"L400","Psoriasis :
 - en plaques
 - nummulaire",""
"L401","Impétigo herpétiforme
Maladie de von Zumbusch",""
"L408","Psoriasis des plis de flexion",""
"L41","","poïkilodermie vasculaire atrophiante [L94.5]"
"L410","Maladie de Mucha–Habermann",""
"L419","","poïkilodermie vasculaire atrophiante [L94.5]"
"L43","","lichen planopilaire [L66.1]"
"L433","Lichen plan tropical",""
"L439","","lichen planopilaire [L66.1]"
"L444","[Giannotti–Crosti]",""
"L50","","dermite allergique de contact [L23.-]
œdème (de) :
 - angiomateux héréditaire [D84.1] 
 - angionévrotique [T78.3] 
 - Quincke [T78.3] 
- urticaire (du) :
 - géante [T78.3] 
 - nouveau-né [P83.8] 
 - papuleuse [L28.2] 
 - pigmentaire [Q82.2] 
 - sérique [T80.6] 
 - solaire [L56.3]"
"L50-L54","","acné rosacée [L71.-]
maladie de Lyme [A69.2]"
"L508","Urticaire :
 - chronique
 - récidivante périodique",""
"L509","","dermite allergique de contact [L23.-]
œdème (de) :
 - angiomateux héréditaire [D84.1] 
 - angionévrotique [T78.3] 
 - Quincke [T78.3] 
- urticaire (du) :
 - géante [T78.3] 
 - nouveau-né [P83.8] 
 - papuleuse [L28.2] 
 - pigmentaire [Q82.2] 
 - sérique [T80.6] 
 - solaire [L56.3]"
"L511","Syndrome de Stevens–Johnson",""
"L5129","Épidermolyse nécrosante suraigüe [Lyell], avec décollement cutané de surface non précisée",""
"L53","","érythème dû à (des) :
 - agents externes en contact avec la peau [L23-L25] 
 - feu [L59.0] 
intertrigo érythémateux [L30.4]"
"L530","","érythème toxique du nouveau-né [P83.1]"
"L539","Érythrodermie SAI","érythème dû à (des) :
 - agents externes en contact avec la peau [L23-L25] 
 - feu [L59.0] 
intertrigo érythémateux [L30.4]"
"L570","Kératose :
 - SAI
 - sénile
 - solaire",""
"L572","Nuque rhomboïdale",""
"L574","Élastose sénile",""
"L578","Dermite solaire
Peau de :
 - cultivateur
 - marin",""
"L60","","hippocratisme digital [R68.3]
onychie et paronychie [L03.0]"
"L60-L75","","malformations congénitales de la peau et des phanères [Q84.-]"
"L609","","hippocratisme digital [R68.3]
onychie et paronychie [L03.0]"
"L630","Pelade décalvante",""
"L64","alopécie masculine",""
"L65","","trichotillomanie [F63.3]"
"L659","Alopécie SAI","trichotillomanie [F63.3]"
"L661","Lichen plan folliculaire",""
"L67","","aplasie moniliforme [Q84.1]
pili annulati [Q84.1]
télogène [L65.0]"
"L671","Canitie
Cheveux gris (prématurément)
Hétérochromie des cheveux
Poliose :
 - SAI
 - circonscrite, acquise",""
"L678","Fragilité capillaire",""
"L679","","aplasie moniliforme [Q84.1]
pili annulati [Q84.1]
télogène [L65.0]"
"L68","développement excessif du système pileux","hypertrichose congénitale [Q84.2]
persistance du lanugo [Q84.2]"
"L689","","hypertrichose congénitale [Q84.2]
persistance du lanugo [Q84.2]"
"L70","","acné chéloïde [L73.0]"
"L702","Acné miliaire nécrosante",""
"L705","Acné excoriée des jeunes filles",""
"L709","","acné chéloïde [L73.0]"
"L721","Kyste pileux",""
"L738","Sycosis de la barbe",""
"L74","","hyperhidrose [R61.-]"
"L742","Miliaire tropicale",""
